meter_id,date,reading
SDGE_EMS.T,2024-05-11,42493.088563
SDGE_EMS.T,2024-05-12,41152.9738599
SDGE_EMS.T,2024-05-13,44883.014762
SDGE_EMS.T,2024-05-14,44989.405167
SDGE_EMS.T,2024-05-15,53481.142644
SDGE_EMS.T,2024-05-16,48093.110672
SDGE_EMS.T,2024-05-17,49576.632764
SDGE_EMS.T,2024-05-18,40319.479415
SDGE_EMS.T,2024-05-19,37918.8392462
SDGE_EMS.T,2024-05-20,44545.808575
SDGE_EMS.T,2024-05-21,44569.241406
SDGE_EMS.T,2024-05-22,46083.224763
SDGE_EMS.T,2024-05-23,47436.250838
SDGE_EMS.T,2024-05-24,47576.159525
SDGE_EMS.T,2024-05-25,41503.188334
SDGE_EMS.T,2024-05-26,38382.9192227
SDGE_EMS.T,2024-05-27,41971.3352816
SDGE_EMS.T,2024-05-28,45467.786077
SDGE_EMS.T,2024-05-29,45054.805242999995
SDGE_EMS.T,2024-05-30,44733.544081
SDGE_EMS.T,2024-05-31,46211.022694
SDGE_EMS.T,2024-06-01,43805.0071211
SDGE_EMS.T,2024-06-02,45014.561517
SDGE_EMS.T,2024-06-03,46058.531557
SDGE_EMS.T,2024-06-04,47485.848636
SDGE_EMS.T,2024-06-05,48161.136979
SDGE_EMS.T,2024-06-06,48705.824752
SDGE_EMS.T,2024-06-07,49303.4292
SDGE_EMS.T,2024-06-08,44006.030519
SDGE_EMS.T,2024-06-09,42294.195533
SDGE_EMS.T,2024-06-10,47190.684498
SDGE_EMS.T,2024-06-11,52208.665582
SDGE_EMS.T,2024-06-12,48981.302651
SDGE_EMS.T,2024-06-13,46266.814866
SDGE_EMS.T,2024-06-14,46606.832035
SDGE_EMS.T,2024-06-15,46431.373331
SDGE_EMS.T,2024-06-16,42376.4550987
SDGE_EMS.T,2024-06-17,47371.527985
SDGE_EMS.T,2024-06-18,47481.099333
SDGE_EMS.T,2024-06-19,47503.548783
SDGE_EMS.T,2024-06-20,49123.268452000004
SDGE_EMS.T,2024-06-21,50735.596899
SDGE_EMS.T,2024-06-22,51495.267835
SDGE_EMS.T,2024-06-23,58003.064889
SDGE_EMS.T,2024-06-24,63710.017693
SDGE_EMS.T,2024-06-25,60336.836994
SDGE_EMS.T,2024-06-26,58035.452947
SDGE_EMS.T,2024-06-27,55741.605628
SDGE_EMS.T,2024-06-28,53369.969376
SDGE_EMS.T,2024-06-29,49234.522827
SDGE_EMS.T,2024-06-30,51457.306675
SDGE_EMS.T,2024-07-01,53671.207184
SDGE_EMS.T,2024-07-02,54381.263493
SDGE_EMS.T,2024-07-03,57374.108723
SDGE_EMS.T,2024-07-04,53312.817573
SDGE_EMS.T,2024-07-05,56915.401123
SDGE_EMS.T,2024-07-06,55933.504734
SDGE_EMS.T,2024-07-07,53370.132621
SDGE_EMS.T,2024-07-08,59374.6729
SDGE_EMS.T,2024-07-09,60143.908222
SDGE_EMS.T,2024-07-10,60123.64085
SDGE_EMS.T,2024-07-11,58836.198939
SDGE_EMS.T,2024-07-12,57422.152043
SDGE_EMS.T,2024-07-13,52799.415968
SDGE_EMS.T,2024-07-14,53754.670965
SDGE_EMS.T,2024-07-15,58936.25055
SDGE_EMS.T,2024-07-16,58358.087504
SDGE_EMS.T,2024-07-17,58653.716896
SDGE_EMS.T,2024-07-18,58666.78817
SDGE_EMS.T,2024-07-19,61742.498709
SDGE_EMS.T,2024-07-20,60429.429538
SDGE_EMS.T,2024-07-21,57434.278530999996
SDGE_EMS.T,2024-07-22,62638.352795
SDGE_EMS.T,2024-07-23,65242.473727
SDGE_EMS.T,2024-07-24,69449.652845
SDGE_EMS.T,2024-07-25,72142.002792
SDGE_EMS.T,2024-07-26,68379.231208
SDGE_EMS.T,2024-07-27,56919.037066
SDGE_EMS.T,2024-07-28,53064.012137
SDGE_EMS.T,2024-07-29,57682.258125
SDGE_EMS.T,2024-07-30,57347.459157
SDGE_EMS.T,2024-07-31,57245.666621
SDGE_EMS.T,2024-08-01,60616.355595
SDGE_EMS.T,2024-08-02,64745.186492
SDGE_EMS.T,2024-08-03,62399.476117
SDGE_EMS.T,2024-08-04,60995.27405
SDGE_EMS.T,2024-08-05,69261.92277599999
SDGE_EMS.T,2024-08-06,68767.9524
SDGE_EMS.T,2024-08-07,66510.011524
SDGE_EMS.T,2024-08-08,61344.509783
SDGE_EMS.T,2024-08-09,61994.236786
SDGE_EMS.T,2024-08-10,58550.954608
SDGE_EMS.T,2024-08-11,62212.778143
SDGE_EMS.T,2024-08-12,70004.996964
SDGE_EMS.T,2024-08-13,69171.97078
SDGE_EMS.T,2024-08-14,65231.124043
SDGE_EMS.T,2024-08-15,66508.190933
SDGE_EMS.T,2024-08-16,63510.409332
SDGE_EMS.T,2024-08-17,56738.893449999996
SDGE_EMS.T,2024-08-18,56158.949519
SDGE_EMS.T,2024-08-19,65708.458255
SDGE_EMS.T,2024-08-20,71385.953707
SDGE_EMS.T,2024-08-21,69222.874341
SDGE_EMS.T,2024-08-22,65142.344216
SDGE_EMS.T,2024-08-23,60208.893491999996
SDGE_EMS.T,2024-08-24,53473.11019
SDGE_EMS.T,2024-08-25,53710.490458
SDGE_EMS.T,2024-08-26,61493.051874
SDGE_EMS.T,2024-08-27,61053.872308
SDGE_EMS.T,2024-08-28,60053.913683
SDGE_EMS.T,2024-08-29,58752.788768
SDGE_EMS.T,2024-08-30,58192.117363
SDGE_EMS.T,2024-08-31,54029.301307
SDGE_EMS.T,2024-09-01,55321.548139
SDGE_EMS.T,2024-09-02,58351.191554
SDGE_EMS.T,2024-09-03,66213.042477
SDGE_EMS.T,2024-09-04,72144.12168899999
SDGE_EMS.T,2024-09-05,79531.28582
SDGE_EMS.T,2024-09-06,81545.844082
SDGE_EMS.T,2024-09-07,80894.357537
SDGE_EMS.T,2024-09-08,87493.792067
SDGE_EMS.T,2024-09-09,88808.273293
SDGE_EMS.T,2024-09-10,75165.880377
SDGE_EMS.T,2024-09-11,60332.115825
SDGE_EMS.T,2024-09-12,55710.442121
SDGE_EMS.T,2024-09-13,57073.56399
SDGE_EMS.T,2024-09-14,54047.267966
SDGE_EMS.T,2024-09-15,56046.256456
SDGE_EMS.T,2024-09-16,54856.625128
SDGE_EMS.T,2024-09-17,51185.856406
SDGE_EMS.T,2024-09-18,52301.520603
SDGE_EMS.T,2024-09-19,53070.905711
SDGE_EMS.T,2024-09-20,52775.510702
SDGE_EMS.T,2024-09-21,49160.226225
SDGE_EMS.T,2024-09-22,50564.124342
SDGE_EMS.T,2024-09-23,55802.934122
SDGE_EMS.T,2024-09-24,54763.306648
SDGE_EMS.T,2024-09-25,54599.425431
SDGE_EMS.T,2024-09-26,52335.105202
SDGE_EMS.T,2024-09-27,52707.009935
SDGE_EMS.T,2024-09-28,47451.262022
SDGE_EMS.T,2024-09-29,46795.001443
SDGE_EMS.T,2024-09-30,52453.834919
SDGE_EMS.T,2024-10-01,56622.014969
SDGE_EMS.T,2024-10-02,57164.108026
